,text,name,favourite_count,retweet_count,created_at
76,"@NguyenKhuyen_tw @thanh01112002 EXIGIMOS UNA DISCULPA

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression #ApologizeABCCOLOR",𝙲𝚘𝚏𝚏𝚎𝚔𝚘𝚘𝚔🐥𝚘𝚝⁷|🎹🧈,0,2,2021-06-17 23:55:28
77,"@min_zel09 EXIGIMOS UNA DISCULPA

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression #ApologizeABCCOLOR",𝙲𝚘𝚏𝚏𝚎𝚔𝚘𝚘𝚔🐥𝚘𝚝⁷|🎹🧈,0,0,2021-06-17 23:54:00
78,"Sabes que es divertido? Que estos ""bots"" te van a dejar sin trabajo, pero agradece, que te libramos de algo que no puedes hacer bien. 
Dices que el éxito de BTS es manipulado, pues yo no lo creo, ellos se lo han ganado. 
#DisculpateMikeSilvero
#DisculpateABCCOLOR https://t.co/MTiGMTAviB",Madeline_Kim,1,0,2021-06-17 23:53:52
79,RT @BEJinjinara: Como army hemos venido soportando diversos ataques de medios extranjeros por simplemente defender a bangt4n de ataques xen…,Poo Poo 💜,0,3687,2021-06-17 23:52:39
80,"El hombre que se burló de estos chicos, ya emitió su ""disculpa"", sin embargo, su disculpa estaba llena de más burlas e insultos a BTS, esa no es una disculpa.
Llamar humor a el racismo no está bien
#DisculpateMikeSilvero
#DisculpateABCCOLOR
#RACISMISNOTCOMEDY
#ApologizeABCCOLOR https://t.co/hIsabpAayw",민.젤♡,3,3,2021-06-17 23:52:20
81,"RT @mm_blanquita: ¡EXIGIMOS UNA DISCULPA!
Nos ofendió nosotras solo nos defendimos y se indigno con nuestras respuestas cuando usted empezó…",Verónica de Jesús,0,1,2021-06-17 23:50:39
82,"RT @ChimmySun: JIMIN Y Becky g dijeron : La gente que crítica simplemente me da pena. 

La Rap líne dijeron : Ustedes, envidioso, resentido…",Butter⁷💜,0,111,2021-06-17 23:50:27
83,"¡EXIGIMOS UNA DISCULPA!
El RACISMO y la XENOFOBIA, no es algo que se pueda tomar como  ""humor"" o ""para divertirse""
¡EXIGIMOS UNA DISCULPA!
#RACISMISNOTCOMEDY
#ApologizeABCCOLOR 
#ApologizeMikeSilvero 
#DisculpateABCCOLOR 
#DisculpateMikeSilvero https://t.co/korWKj87EA",Lorena Montero,1,0,2021-06-17 23:49:13
84,"RT @isatkmt3ama: @dooly_king @vntevflxx EXIGIMOS UNA DISCULPA!!

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresi…",Milanesa UwU,0,2,2021-06-17 23:44:12
85,"¡EXIGIMOS UNA DISCULPA!
Nos ofendió nosotras solo nos defendimos y se indigno con nuestras respuestas cuando usted empezó esto. 

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression https://t.co/M2UTXFO7U4 https://t.co/eX3ZVBaT5t",Blanquita_min,0,1,2021-06-17 23:44:11
